id,proposal_id,create_date,client_rating,freelancer_rating,client_rating_description,freelancer_rating_description,status
1001,1941,2020-03-14,,,,,dispute
1002,1905,2019-05-24,3.2,3.0,Suspendisse ornare consequat lectus.,Aliquam sit amet diam in magna bibendum imperdiet.,complete
1003,1803,2019-09-28,4.3,4.5,Integer tincidunt ante vel ipsum.,Nam nulla.,complete
1004,653,2019-01-26,2.1,4.0,Morbi vel lectus in quam fringilla rhoncus.,Phasellus id sapien in sapien iaculis congue.,cancelled
1005,45,2019-07-03,4.1,1.2,Proin eu mi.,Mauris lacinia sapien quis libero.,complete
1006,2482,2019-11-02,4.5,1.1,Curabitur gravida nisi at nibh.,Morbi non quam nec dui luctus rutrum.,complete
1007,1756,2019-04-29,,,,,ongoing
1008,1103,2018-01-26,1.2,3.8,Aenean sit amet justo.,Cras non velit nec nisi vulputate nonummy.,complete
1009,1829,2019-05-23,,,,,ongoing
1010,2172,2018-04-15,,,,,dispute
1011,34,2018-09-23,3.1,2.2,Aliquam quis turpis eget elit sodales scelerisque.,Donec posuere metus vitae ipsum.,complete
1012,1571,2019-11-03,,,,,ongoing
1013,739,2019-10-20,2.1,3.7,Sed sagittis.,In hac habitasse platea dictumst.,cancelled
1014,2382,2020-01-15,2.5,1.5,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Duis ac nibh.,complete
1015,1433,2018-09-30,,,,,dispute
1016,1409,2020-06-26,1.5,3.3,Maecenas rhoncus aliquam lacus.,In hac habitasse platea dictumst.,complete
1017,2160,2018-09-21,2.8,1.2,Aenean sit amet justo.,Morbi vel lectus in quam fringilla rhoncus.,cancelled
1018,2329,2019-03-03,,,,,ongoing
1019,2327,2019-09-13,,,,,ongoing
1020,1315,2018-11-08,,,,,ongoing
1021,1864,2020-05-05,,,,,dispute
1022,320,2019-02-04,,,,,dispute
1023,2021,2019-09-09,1.0,3.3,In eleifend quam a odio.,Sed accumsan felis.,cancelled
1024,807,2020-07-25,2.6,1.2,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",cancelled
1025,2284,2019-08-08,,,,,ongoing
1026,1694,2019-02-24,,,,,ongoing
1027,140,2018-06-14,,,,,dispute
1028,1847,2018-09-30,1.1,4.4,Sed sagittis.,Maecenas tincidunt lacus at velit.,complete
1029,1528,2020-06-22,3.1,2.6,Vestibulum rutrum rutrum neque.,Duis aliquam convallis nunc.,cancelled
1030,1578,2019-01-22,,,,,ongoing
1031,1830,2018-07-10,,,,,dispute
1032,2351,2020-04-01,4.7,3.4,Pellentesque ultrices mattis odio.,Nulla tellus.,cancelled
1033,1413,2018-09-09,5.0,2.0,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Proin eu mi.,complete
1034,79,2019-05-21,,,,,ongoing
1035,1102,2019-09-16,2.8,2.8,Morbi vel lectus in quam fringilla rhoncus.,Morbi non lectus.,cancelled
1036,462,2018-12-13,,,,,dispute
1037,508,2018-06-20,2.2,3.8,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.","Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",complete
1038,362,2020-09-04,4.0,4.9,Nulla ac enim.,Curabitur at ipsum ac tellus semper interdum.,complete
1039,2183,2019-02-05,1.4,1.5,Cras non velit nec nisi vulputate nonummy.,Duis at velit eu est congue elementum.,cancelled
1040,1310,2020-09-12,4.1,1.3,Duis ac nibh.,Aliquam quis turpis eget elit sodales scelerisque.,complete
1041,831,2020-05-12,3.8,2.0,Ut tellus.,In sagittis dui vel nisl.,cancelled
1042,2247,2020-01-21,4.2,4.9,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,cancelled
1043,466,2018-02-28,3.3,3.1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",cancelled
1044,1110,2018-12-02,,,,,ongoing
1045,2535,2019-12-25,,,,,dispute
1046,1511,2019-09-07,,,,,ongoing
1047,704,2019-06-23,,,,,ongoing
1048,1560,2019-12-17,,,,,dispute
1049,818,2020-03-17,,,,,dispute
1050,298,2018-05-28,1.7,2.9,Curabitur at ipsum ac tellus semper interdum.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",complete
1051,1942,2020-06-19,,,,,dispute
1052,648,2020-08-26,,,,,ongoing
1053,2483,2020-03-10,3.0,4.2,Cras non velit nec nisi vulputate nonummy.,Donec dapibus.,complete
1054,1183,2020-03-20,,,,,ongoing
1055,1596,2019-05-30,,,,,dispute
1056,389,2019-08-31,,,,,ongoing
1057,1734,2018-10-25,2.6,3.2,Proin interdum mauris non ligula pellentesque ultrices.,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",complete
1058,681,2019-02-16,3.6,4.0,In sagittis dui vel nisl.,Nulla tempus.,cancelled
1059,490,2019-09-14,,,,,ongoing
1060,1290,2018-07-09,2.5,5.0,Nulla ac enim.,Quisque id justo sit amet sapien dignissim vestibulum.,cancelled
1061,538,2018-05-15,,,,,dispute
1062,1603,2020-08-24,,,,,ongoing
1063,594,2019-12-20,,,,,dispute
1064,1509,2019-10-16,2.0,1.2,Sed vel enim sit amet nunc viverra dapibus.,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",complete
1065,355,2019-06-05,,,,,ongoing
1066,844,2020-07-17,,,,,ongoing
1067,450,2019-04-15,,,,,ongoing
1068,1542,2020-07-22,,,,,ongoing
1069,2482,2018-04-10,3.4,2.2,Aenean sit amet justo.,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",complete
1070,938,2018-09-25,2.9,4.9,Vestibulum sed magna at nunc commodo placerat.,Aliquam erat volutpat.,cancelled
1071,2297,2020-05-23,,,,,dispute
1072,2476,2018-02-17,2.2,2.8,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Suspendisse potenti.,cancelled
1073,811,2020-05-30,,,,,dispute
1074,1515,2018-11-01,,,,,ongoing
1075,1662,2018-06-28,3.8,2.7,Donec ut dolor.,Proin risus.,complete
1076,1527,2020-03-04,,,,,ongoing
1077,1294,2019-06-11,,,,,ongoing
1078,1199,2018-07-06,1.2,4.7,Donec dapibus.,Etiam faucibus cursus urna.,complete
1079,1355,2019-12-17,3.4,1.5,Mauris ullamcorper purus sit amet nulla.,Mauris ullamcorper purus sit amet nulla.,complete
1080,1045,2018-08-22,3.4,1.8,Suspendisse potenti.,Sed ante.,cancelled
1081,21,2018-06-12,,,,,dispute
1082,1901,2019-08-16,,,,,ongoing
1083,22,2019-05-29,1.8,2.5,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Fusce consequat.,complete
1084,2521,2019-05-04,2.5,3.7,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Morbi a ipsum.,complete
1085,151,2019-08-20,,,,,dispute
1086,2080,2019-12-09,,,,,ongoing
1087,1926,2018-07-12,2.2,1.2,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Vestibulum ac est lacinia nisi venenatis tristique.,cancelled
1088,1204,2018-07-08,,,,,ongoing
1089,741,2020-06-08,3.0,4.3,Suspendisse potenti.,Donec quis orci eget orci vehicula condimentum.,complete
1090,1890,2018-12-11,1.4,4.7,In hac habitasse platea dictumst.,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",cancelled
1091,1679,2019-05-08,,,,,dispute
1092,1315,2019-05-20,2.9,2.7,Maecenas rhoncus aliquam lacus.,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",complete
1093,1615,2019-02-15,,,,,dispute
1094,334,2020-07-15,4.0,4.7,Praesent blandit lacinia erat.,Aenean fermentum.,cancelled
1095,1137,2018-12-23,4.1,1.2,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",In hac habitasse platea dictumst.,complete
1096,395,2018-12-03,,,,,dispute
1097,206,2019-10-04,2.0,1.7,Donec ut mauris eget massa tempor convallis.,Suspendisse potenti.,complete
1098,488,2018-07-13,1.1,4.6,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",Nulla justo.,cancelled
1099,2156,2018-06-08,3.3,2.4,Nulla nisl.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",complete
1100,1856,2019-12-01,,,,,dispute
1101,1844,2020-02-15,,,,,dispute
1102,2275,2020-08-01,2.2,3.4,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Nullam varius.,cancelled
1103,4,2019-06-29,,,,,ongoing
1104,399,2020-04-25,4.6,3.5,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Cras pellentesque volutpat dui.,cancelled
1105,666,2019-04-24,4.3,3.3,Curabitur in libero ut massa volutpat convallis.,Mauris ullamcorper purus sit amet nulla.,complete
1106,1917,2020-04-21,,,,,ongoing
1107,869,2019-04-28,,,,,dispute
1108,1000,2019-12-02,2.4,1.1,In eleifend quam a odio.,Proin risus.,cancelled
1109,113,2018-03-27,,,,,ongoing
1110,1437,2019-11-29,,,,,ongoing
1111,1391,2019-09-25,,,,,ongoing
