id,title,project_length,offered_payrate,category,experience_level,no_of_vacancy,status,description,client_id
1,Mechanical Systems Engineer,26,7509,Engineering and Architecture,executive,2,open,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,11
2,Staff Scientist,73,81553,Sales and Marketing,executive,1,open,Fusce consequat. Nulla nisl. Nunc nisl.,23
3,Compensation Analyst,139,37945,Design and Creative,executive,5,open,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,5
4,Account Executive,20,97777,Data Science and Analytics,executive,4,open,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",17
5,Senior Editor,85,60815,Writing,entry,9,open,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",8
6,Data Coordiator,3,5566,Translation,executive,4,close,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,3
7,Software Engineer III,158,66899,Design and Creative,executive,7,close,In congue. Etiam justo. Etiam pretium iaculis justo.,16
8,Operator,140,59890,Accounting and Consulting,entry,9,open,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",17
9,Quality Engineer,57,74051,Data Science and Analytics,intermediate,10,close,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",25
10,Geologist III,61,91795,Engineering and Architecture,entry,4,open,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,1
11,Research Assistant II,26,6864,Writing,entry,9,open,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,15
12,Chief Design Engineer,93,72262,Legal,entry,10,close,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,19
13,Desktop Support Technician,157,62335,IT and Networking,executive,2,open,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",7
14,Data Coordiator,149,51899,Data Science and Analytics,intermediate,7,open,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",13
15,Media Manager III,130,52534,Translation,entry,4,open,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,9
