id,freelancer_id,category
1,560,Writing
2,433,Translation
3,219,Data Science and Analytics
4,256,IT and Networking
5,511,Translation
6,159,Sales and Marketing
7,759,Legal
8,593,Legal
9,844,Admin Support
10,118,Translation
11,440,Data Science and Analytics
12,985,Data Science and Analytics
13,353,Accounting and Consulting
14,887,Data Science and Analytics
15,591,Sales and Marketing
16,88,Writing
17,942,Writing
18,355,Sales and Marketing
19,772,Sales and Marketing
20,329,Sales and Marketing
21,473,Sales and Marketing
22,712,Data Science and Analytics
23,714,Admin Support
24,612,Data Science and Analytics
25,624,Sales and Marketing
26,18,Legal
27,815,Admin Support
28,235,Data Science and Analytics
29,671,Engineering and Architecture
30,82,Design and Creative
31,168,Design and Creative
32,971,Legal
33,31,Design and Creative
34,696,Accounting and Consulting
35,477,Translation
36,827,IT and Networking
37,738,Design and Creative
38,891,Admin Support
39,8,Translation
40,89,Customer Service
41,786,Sales and Marketing
42,26,Translation
43,235,Translation
44,194,Engineering and Architecture
45,991,Translation
46,794,Legal
47,867,Design and Creative
48,415,Data Science and Analytics
49,330,Web Mobile and Software Dev
50,200,Writing
51,88,Sales and Marketing
52,306,Legal
53,140,Legal
54,343,Legal
55,837,Web Mobile and Software Dev
56,465,Customer Service
57,532,IT and Networking
58,214,Customer Service
59,624,Customer Service
60,618,IT and Networking
61,450,Design and Creative
62,337,Design and Creative
63,829,Design and Creative
64,646,Engineering and Architecture
65,608,Web Mobile and Software Dev
66,757,Admin Support
67,909,Engineering and Architecture
68,707,Legal
69,378,Sales and Marketing
70,216,Web Mobile and Software Dev
71,44,Data Science and Analytics
72,906,IT and Networking
73,899,Customer Service
74,608,Legal
75,165,Writing
76,224,Writing
77,733,Accounting and Consulting
78,825,Legal
79,25,Engineering and Architecture
80,609,IT and Networking
81,463,Translation
82,234,Writing
83,466,Customer Service
84,29,Customer Service
85,264,Translation
86,652,Admin Support
87,340,Admin Support
88,669,Engineering and Architecture
89,888,Accounting and Consulting
90,158,Sales and Marketing
91,574,Web Mobile and Software Dev
92,365,Customer Service
93,255,Translation
94,210,IT and Networking
95,417,IT and Networking
96,361,Admin Support
97,527,Translation
98,668,Customer Service
99,111,Translation
100,161,Admin Support
101,859,Admin Support
102,946,Legal
103,145,Design and Creative
104,784,Customer Service
105,918,Data Science and Analytics
106,270,Sales and Marketing
107,925,Writing
108,223,Admin Support
109,587,Data Science and Analytics
110,548,Web Mobile and Software Dev
111,353,Translation
112,314,Sales and Marketing
113,476,Translation
114,402,Data Science and Analytics
115,779,Accounting and Consulting
116,458,Data Science and Analytics
117,730,Writing
118,430,Translation
119,459,Web Mobile and Software Dev
120,979,Customer Service
121,745,Engineering and Architecture
122,840,Writing
123,652,Web Mobile and Software Dev
124,242,Accounting and Consulting
125,954,Customer Service
126,303,Customer Service
127,767,Translation
128,107,IT and Networking
129,811,IT and Networking
130,998,Translation
131,474,Admin Support
132,745,Writing
133,246,Customer Service
134,234,Admin Support
135,700,Translation
136,685,Legal
137,88,Accounting and Consulting
138,870,Engineering and Architecture
139,167,Admin Support
140,352,Web Mobile and Software Dev
141,173,Customer Service
142,453,Accounting and Consulting
143,12,Legal
144,677,Customer Service
145,712,IT and Networking
146,33,Engineering and Architecture
147,139,Data Science and Analytics
148,752,Legal
149,640,Legal
150,373,Accounting and Consulting
